経過月,事業コード,SF-コード,ランク,開発コード,部番,販社,年月,月次使用数,累積販売台数,lambda0,期待故障数,参照値k,CUSUM,しきい値h,アラート,基準モード,月次p値,スパイクアラート,バーストp値,バーストアラート,アラート種別,総合アラート
36,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202036,1,8343.0,0.00013041550379509117,1.0880565481624456,1.569733786240724,0.0,8.0,False,stable,0.6738609519005545,False,,False,,False
37,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202037,1,8569.0,0.00013041550379509117,1.1175304520201361,1.612255641171852,0.0,8.0,False,stable,0.6832736805534328,False,0.6602210156306452,False,,False
38,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202038,0,8795.0,0.00013041550379509117,1.147004355877827,1.6547774961029806,0.0,8.0,False,stable,1.0,False,0.8945656676849008,False,,False
39,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202039,0,9020.0,0.00013041550379509117,1.1763478442317223,1.6971112012335288,0.0,8.0,False,stable,1.0,False,1.0,False,,False
40,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202040,1,9246.0,0.00013041550379509117,1.205821748089413,1.739633056164657,0.0,8.0,False,stable,0.7097827504031985,False,0.9054206295729318,False,,False
41,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202041,0,9472.0,0.00013041550379509117,1.2352956519471034,1.7821549110957853,0.0,8.0,False,stable,1.0,False,0.9104075819775324,False,,False
42,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202042,2,9698.0,0.00013041550379509117,1.2647695558047942,1.8246767660269136,0.17532323397308636,8.0,False,stable,0.38545832036052297,False,0.721091323827422,False,,False
43,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202043,2,9923.0,0.00013041550379509117,1.2941130441586897,1.8670104711574618,0.3083127628156246,8.0,False,stable,0.39585856133961955,False,0.29644651506865394,False,,False
44,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202044,0,10149.0,0.00013041550379509117,1.3235869480163802,1.90953232608859,0.0,8.0,False,stable,1.0,False,0.7424585685832072,False,,False
45,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202045,0,10375.0,0.00013041550379509117,1.3530608518740708,1.9520541810197183,0.0,8.0,False,stable,1.0,False,1.0,False,,False
46,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202046,1,10601.0,0.00013041550379509117,1.3825347557317615,1.9945760359508469,0.0,8.0,False,stable,0.7560153090059277,False,0.9314625881747045,False,,False
47,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202047,7,10826.0,0.00013041550379509117,1.411878244085657,2.036909741081395,4.963090258918605,8.0,False,stable,0.001860347699946785,False,0.01976305212168986,False,,False
48,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202048,1,11052.0,0.00013041550379509117,1.4413521479433475,2.079431596012523,3.883658662906082,8.0,False,stable,0.7696121120878471,False,0.0218161102121327,False,,False
49,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202049,3,11278.0,0.00013041550379509117,1.470826051801038,2.1219534509436513,4.761705211962431,8.0,False,stable,0.21344803723488034,False,0.37398596451212374,False,,False
50,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202050,1,11504.0,0.00013041550379509117,1.5002999556587289,2.16447530587478,3.5972299060876507,8.0,False,stable,0.7824341553660104,False,0.386776229381142,False,,False
51,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202051,2,11729.0,0.00013041550379509117,1.5296434440126243,2.206809011005328,3.3904208950823227,8.0,False,stable,0.4754263603723453,False,0.6034284491484249,False,,False
52,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202052,1,11955.0,0.00013041550379509117,1.5591173478703149,2.2493308659364564,2.1410900291458663,8.0,False,stable,0.7944747412472212,False,0.6151691847852656,False,,False
53,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202053,2,12181.0,0.00013041550379509117,1.5885912517280054,2.2918527208675843,1.849237308278282,8.0,False,stable,0.4941632260669113,False,0.6266601420922714,False,,False
54,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202054,0,12406.0,0.00013041550379509117,1.617934740081901,2.3341864259981326,0.0,8.0,False,stable,1.0,False,0.8279507177968402,False,,False
55,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202055,1,12632.0,0.00013041550379509117,1.6474086439395916,2.376708280929261,0.0,8.0,False,stable,0.8112382911953291,False,0.9572028661716407,False,,False
56,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202056,0,12858.0,0.00013041550379509117,1.6768825477972822,2.4192301358603894,0.0,8.0,False,stable,1.0,False,0.9593533093508906,False,,False
57,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202057,2,13084.0,0.00013041550379509117,1.7063564516549727,2.4617519907915173,0.0,8.0,False,stable,0.5301029398288781,False,0.8476951250432352,False,,False
58,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202058,0,13309.0,0.00013041550379509117,1.7356999400088684,2.5040856959220656,0.0,8.0,False,stable,1.0,False,0.8537563607231122,False,,False
59,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202059,1,13535.0,0.00013041550379509117,1.765173843866559,2.546607550853194,0.0,8.0,False,stable,0.8313714262886109,False,0.9651354310867186,False,,False
60,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202060,1,13761.0,0.00013041550379509117,1.7946477477242495,2.5891294057843224,0.0,8.0,False,stable,0.8360445885687536,False,0.86518130100605,False,,False
61,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202061,1,13987.0,0.00013041550379509117,1.82412165158194,2.6316512607154507,0.0,8.0,False,stable,0.8405803889434506,False,0.8705615387471625,False,,False
62,BIZ1,SF100,H,H_OLD0,100-0001-001,S01,202062,1,14212.0,0.00013041550379509117,1.8534651399358357,2.673984965845999,0.0,8.0,False,stable,0.8449639011625913,False,0.8757160078043967,False,,False
