事業コード,開発コード,部番,販社,SF-CODE,ランク,年月,経過月,月次使用数,累積販売台数
E1,M01,100-0,A,SF-100,A,202101,0,1,850
E1,M01,100-0,C,SF-100,A,202101,0,2,500
E1,M01,100-0,ALL,SF-100,A,202101,0,3,2500
E1,M01,100-0,ALL,SF-100,A,202102,1,0,2630
E1,M01,100-0,A,SF-100,A,202103,2,1,938
E1,M01,100-0,B,SF-100,A,202103,2,1,662
E1,M01,100-0,C,SF-100,A,202103,2,0,552
E1,M01,100-0,D,SF-100,A,202103,2,2,414
E1,M01,100-0,ALL,SF-100,A,202103,2,4,2760
E1,M01,100-0,A,SF-100,A,202104,3,1,983
E1,M01,100-0,B,SF-100,A,202104,3,1,694
E1,M01,100-0,C,SF-100,A,202104,3,1,578
E1,M01,100-0,D,SF-100,A,202104,3,0,434
E1,M01,100-0,ALL,SF-100,A,202104,3,3,2890
E1,M01,100-0,A,SF-100,A,202105,4,1,1027
E1,M01,100-0,B,SF-100,A,202105,4,0,725
E1,M01,100-0,C,SF-100,A,202105,4,0,604
E1,M01,100-0,D,SF-100,A,202105,4,0,453
E1,M01,100-0,ALL,SF-100,A,202105,4,1,3020
E1,M01,100-0,A,SF-100,A,202106,5,0,1071
E1,M01,100-0,B,SF-100,A,202106,5,1,756
E1,M01,100-0,C,SF-100,A,202106,5,1,630
E1,M01,100-0,D,SF-100,A,202106,5,0,472
E1,M01,100-0,ALL,SF-100,A,202106,5,2,3150
E1,M01,100-0,A,SF-100,A,202107,6,2,1115
E1,M01,100-0,B,SF-100,A,202107,6,0,787
E1,M01,100-0,C,SF-100,A,202107,6,0,656
E1,M01,100-0,D,SF-100,A,202107,6,1,492
E1,M01,100-0,ALL,SF-100,A,202107,6,3,3280
E1,M01,100-0,A,SF-100,A,202108,7,2,1159
E1,M01,100-0,B,SF-100,A,202108,7,1,818
E1,M01,100-0,C,SF-100,A,202108,7,0,682
E1,M01,100-0,D,SF-100,A,202108,7,1,512
E1,M01,100-0,ALL,SF-100,A,202108,7,4,3410
E1,M01,100-0,A,SF-100,A,202109,8,1,1204
E1,M01,100-0,B,SF-100,A,202109,8,0,850
E1,M01,100-0,C,SF-100,A,202109,8,1,708
E1,M01,100-0,D,SF-100,A,202109,8,0,531
E1,M01,100-0,E,SF-100,A,202109,8,0,248
E1,M01,100-0,ALL,SF-100,A,202109,8,2,3540
E1,M01,100-0,A,SF-100,A,202110,9,2,1248
E1,M01,100-0,B,SF-100,A,202110,9,2,881
E1,M01,100-0,C,SF-100,A,202110,9,0,734
E1,M01,100-0,D,SF-100,A,202110,9,1,550
E1,M01,100-0,E,SF-100,A,202110,9,0,257
E1,M01,100-0,ALL,SF-100,A,202110,9,5,3670
E1,M01,100-0,A,SF-100,A,202111,10,1,1292
E1,M01,100-0,B,SF-100,A,202111,10,0,912
E1,M01,100-0,C,SF-100,A,202111,10,0,760
E1,M01,100-0,D,SF-100,A,202111,10,0,570
E1,M01,100-0,E,SF-100,A,202111,10,1,266
E1,M01,100-0,ALL,SF-100,A,202111,10,2,3800
E1,M01,100-0,A,SF-100,A,202112,11,2,1336
E1,M01,100-0,B,SF-100,A,202112,11,0,943
E1,M01,100-0,C,SF-100,A,202112,11,1,786
E1,M01,100-0,D,SF-100,A,202112,11,0,590
E1,M01,100-0,E,SF-100,A,202112,11,0,275
E1,M01,100-0,ALL,SF-100,A,202112,11,3,3930
E1,M01,100-0,A,SF-100,A,202201,12,1,1380
E1,M01,100-0,B,SF-100,A,202201,12,0,974
E1,M01,100-0,C,SF-100,A,202201,12,1,812
E1,M01,100-0,D,SF-100,A,202201,12,0,609
E1,M01,100-0,E,SF-100,A,202201,12,0,284
E1,M01,100-0,ALL,SF-100,A,202201,12,2,4060
E1,M01,100-0,A,SF-100,A,202202,13,0,1425
E1,M01,100-0,B,SF-100,A,202202,13,1,1006
E1,M01,100-0,C,SF-100,A,202202,13,1,838
E1,M01,100-0,D,SF-100,A,202202,13,2,628
E1,M01,100-0,E,SF-100,A,202202,13,0,293
E1,M01,100-0,ALL,SF-100,A,202202,13,4,4190
E1,M01,100-0,A,SF-100,A,202203,14,1,1469
E1,M01,100-0,B,SF-100,A,202203,14,0,1037
E1,M01,100-0,C,SF-100,A,202203,14,0,864
E1,M01,100-0,D,SF-100,A,202203,14,1,648
E1,M01,100-0,E,SF-100,A,202203,14,0,302
E1,M01,100-0,ALL,SF-100,A,202203,14,2,4320
E1,M01,100-0,A,SF-100,A,202204,15,2,1513
E1,M01,100-0,B,SF-100,A,202204,15,0,1068
E1,M01,100-0,C,SF-100,A,202204,15,1,890
E1,M01,100-0,D,SF-100,A,202204,15,0,668
E1,M01,100-0,E,SF-100,A,202204,15,1,312
E1,M01,100-0,ALL,SF-100,A,202204,15,4,4450
E1,M01,100-0,A,SF-100,A,202205,16,3,1557
E1,M01,100-0,B,SF-100,A,202205,16,3,1099
E1,M01,100-0,C,SF-100,A,202205,16,0,916
E1,M01,100-0,D,SF-100,A,202205,16,2,687
E1,M01,100-0,E,SF-100,A,202205,16,0,321
E1,M01,100-0,ALL,SF-100,A,202205,16,8,4580
E1,M01,100-0,A,SF-100,A,202206,17,1,1601
E1,M01,100-0,B,SF-100,A,202206,17,1,1130
E1,M01,100-0,C,SF-100,A,202206,17,0,942
E1,M01,100-0,D,SF-100,A,202206,17,0,706
E1,M01,100-0,E,SF-100,A,202206,17,0,330
E1,M01,100-0,ALL,SF-100,A,202206,17,2,4710
E1,M01,100-0,A,SF-100,A,202207,18,2,1646
E1,M01,100-0,B,SF-100,A,202207,18,0,1162
E1,M01,100-0,C,SF-100,A,202207,18,0,968
E1,M01,100-0,D,SF-100,A,202207,18,0,726
E1,M01,100-0,E,SF-100,A,202207,18,0,339
E1,M01,100-0,ALL,SF-100,A,202207,18,2,4840
E1,M01,100-0,A,SF-100,A,202208,19,3,1690
E1,M01,100-0,B,SF-100,A,202208,19,1,1193
E1,M01,100-0,C,SF-100,A,202208,19,1,994
E1,M01,100-0,D,SF-100,A,202208,19,0,746
E1,M01,100-0,E,SF-100,A,202208,19,0,348
E1,M01,100-0,ALL,SF-100,A,202208,19,5,4970
E1,M01,100-0,A,SF-100,A,202209,20,7,1734
E1,M01,100-0,B,SF-100,A,202209,20,1,1224
E1,M01,100-0,C,SF-100,A,202209,20,0,1020
E1,M01,100-0,D,SF-100,A,202209,20,1,765
E1,M01,100-0,E,SF-100,A,202209,20,0,357
E1,M01,100-0,ALL,SF-100,A,202209,20,9,5100
E1,M01,100-0,A,SF-100,A,202210,21,3,1778
E1,M01,100-0,B,SF-100,A,202210,21,2,1255
E1,M01,100-0,C,SF-100,A,202210,21,3,1046
E1,M01,100-0,D,SF-100,A,202210,21,0,784
E1,M01,100-0,E,SF-100,A,202210,21,0,366
E1,M01,100-0,ALL,SF-100,A,202210,21,8,5230
E1,M01,100-0,A,SF-100,A,202211,22,1,1822
E1,M01,100-0,B,SF-100,A,202211,22,1,1286
E1,M01,100-0,C,SF-100,A,202211,22,0,1072
E1,M01,100-0,D,SF-100,A,202211,22,1,804
E1,M01,100-0,E,SF-100,A,202211,22,0,375
E1,M01,100-0,ALL,SF-100,A,202211,22,3,5360
E1,M01,100-0,A,SF-100,A,202212,23,0,1867
E1,M01,100-0,B,SF-100,A,202212,23,2,1318
E1,M01,100-0,C,SF-100,A,202212,23,6,1098
E1,M01,100-0,D,SF-100,A,202212,23,0,824
E1,M01,100-0,E,SF-100,A,202212,23,2,384
E1,M01,100-0,ALL,SF-100,A,202212,23,10,5490
E1,M01,100-0,A,SF-100,A,202301,24,4,1911
E1,M01,100-0,B,SF-100,A,202301,24,1,1349
E1,M01,100-0,C,SF-100,A,202301,24,2,1124
E1,M01,100-0,D,SF-100,A,202301,24,0,843
E1,M01,100-0,E,SF-100,A,202301,24,0,393
E1,M01,100-0,ALL,SF-100,A,202301,24,7,5620
E1,M01,100-0,A,SF-100,A,202302,25,1,1955
E1,M01,100-0,B,SF-100,A,202302,25,4,1380
E1,M01,100-0,C,SF-100,A,202302,25,2,1150
E1,M01,100-0,D,SF-100,A,202302,25,1,862
E1,M01,100-0,E,SF-100,A,202302,25,1,403
E1,M01,100-0,ALL,SF-100,A,202302,25,9,5750
E1,M01,100-0,A,SF-100,A,202303,26,2,1999
E1,M01,100-0,B,SF-100,A,202303,26,3,1411
E1,M01,100-0,C,SF-100,A,202303,26,1,1176
E1,M01,100-0,D,SF-100,A,202303,26,0,882
E1,M01,100-0,E,SF-100,A,202303,26,3,412
E1,M01,100-0,ALL,SF-100,A,202303,26,9,5880
E1,M01,100-0,A,SF-100,A,202304,27,1,2043
E1,M01,100-0,B,SF-100,A,202304,27,0,1442
E1,M01,100-0,C,SF-100,A,202304,27,0,1202
E1,M01,100-0,D,SF-100,A,202304,27,1,902
E1,M01,100-0,E,SF-100,A,202304,27,0,421
E1,M01,100-0,ALL,SF-100,A,202304,27,2,6010
E1,M01,100-0,A,SF-100,A,202305,28,2,2088
E1,M01,100-0,B,SF-100,A,202305,28,2,1474
E1,M01,100-0,C,SF-100,A,202305,28,0,1228
E1,M01,100-0,D,SF-100,A,202305,28,3,921
E1,M01,100-0,E,SF-100,A,202305,28,2,430
E1,M01,100-0,ALL,SF-100,A,202305,28,9,6140
E1,M01,100-0,A,SF-100,A,202306,29,5,2132
E1,M01,100-0,B,SF-100,A,202306,29,2,1505
E1,M01,100-0,C,SF-100,A,202306,29,0,1254
E1,M01,100-0,D,SF-100,A,202306,29,2,940
E1,M01,100-0,E,SF-100,A,202306,29,0,439
E1,M01,100-0,ALL,SF-100,A,202306,29,9,6270
E1,M01,100-0,A,SF-100,A,202307,30,1,2176
E1,M01,100-0,B,SF-100,A,202307,30,2,1536
E1,M01,100-0,C,SF-100,A,202307,30,1,1280
E1,M01,100-0,D,SF-100,A,202307,30,0,960
E1,M01,100-0,E,SF-100,A,202307,30,0,448
E1,M01,100-0,ALL,SF-100,A,202307,30,4,6400
E1,M01,100-0,A,SF-100,A,202308,31,1,2220
E1,M01,100-0,B,SF-100,A,202308,31,4,1567
E1,M01,100-0,C,SF-100,A,202308,31,2,1306
E1,M01,100-0,D,SF-100,A,202308,31,1,980
E1,M01,100-0,E,SF-100,A,202308,31,1,457
E1,M01,100-0,ALL,SF-100,A,202308,31,9,6530
E1,M01,100-0,A,SF-100,A,202309,32,5,2264
E1,M01,100-0,B,SF-100,A,202309,32,1,1598
E1,M01,100-0,C,SF-100,A,202309,32,2,1332
E1,M01,100-0,D,SF-100,A,202309,32,0,999
E1,M01,100-0,E,SF-100,A,202309,32,0,466
E1,M01,100-0,ALL,SF-100,A,202309,32,8,6660
E1,M01,100-0,A,SF-100,A,202310,33,3,2309
E1,M01,100-0,B,SF-100,A,202310,33,0,1630
E1,M01,100-0,C,SF-100,A,202310,33,2,1358
E1,M01,100-0,D,SF-100,A,202310,33,0,1018
E1,M01,100-0,E,SF-100,A,202310,33,0,475
E1,M01,100-0,ALL,SF-100,A,202310,33,5,6790
E1,M01,100-0,A,SF-100,A,202311,34,2,2353
E1,M01,100-0,B,SF-100,A,202311,34,3,1661
E1,M01,100-0,C,SF-100,A,202311,34,2,1384
E1,M01,100-0,D,SF-100,A,202311,34,2,1038
E1,M01,100-0,E,SF-100,A,202311,34,0,484
E1,M01,100-0,ALL,SF-100,A,202311,34,9,6920
E1,M01,100-0,A,SF-100,A,202312,35,4,2397
E1,M01,100-0,B,SF-100,A,202312,35,0,1692
E1,M01,100-0,C,SF-100,A,202312,35,3,1410
E1,M01,100-0,D,SF-100,A,202312,35,2,1058
E1,M01,100-0,E,SF-100,A,202312,35,0,494
E1,M01,100-0,ALL,SF-100,A,202312,35,9,7050
E1,M01,100-0,A,SF-100,A,202401,36,3,2441
E1,M01,100-0,B,SF-100,A,202401,36,1,1723
E1,M01,100-0,C,SF-100,A,202401,36,1,1436
E1,M01,100-0,D,SF-100,A,202401,36,1,1077
E1,M01,100-0,E,SF-100,A,202401,36,0,503
E1,M01,100-0,ALL,SF-100,A,202401,36,6,7180
E1,M01,100-0,A,SF-100,A,202402,37,5,2485
E1,M01,100-0,B,SF-100,A,202402,37,0,1754
E1,M01,100-0,C,SF-100,A,202402,37,1,1462
E1,M01,100-0,D,SF-100,A,202402,37,0,1096
E1,M01,100-0,E,SF-100,A,202402,37,0,512
E1,M01,100-0,ALL,SF-100,A,202402,37,6,7310
E1,M01,100-0,A,SF-100,A,202403,38,4,2530
E1,M01,100-0,B,SF-100,A,202403,38,5,1786
E1,M01,100-0,C,SF-100,A,202403,38,1,1488
E1,M01,100-0,D,SF-100,A,202403,38,2,1116
E1,M01,100-0,E,SF-100,A,202403,38,0,521
E1,M01,100-0,ALL,SF-100,A,202403,38,12,7440
E1,M01,100-0,A,SF-100,A,202404,39,4,2574
E1,M01,100-0,B,SF-100,A,202404,39,1,1817
E1,M01,100-0,C,SF-100,A,202404,39,0,1514
E1,M01,100-0,D,SF-100,A,202404,39,1,1136
E1,M01,100-0,E,SF-100,A,202404,39,2,530
E1,M01,100-0,ALL,SF-100,A,202404,39,8,7570
E1,M01,100-0,A,SF-100,A,202405,40,5,2618
E1,M01,100-0,B,SF-100,A,202405,40,1,1848
E1,M01,100-0,C,SF-100,A,202405,40,4,1540
E1,M01,100-0,D,SF-100,A,202405,40,1,1155
E1,M01,100-0,E,SF-100,A,202405,40,0,539
E1,M01,100-0,ALL,SF-100,A,202405,40,11,7700
E1,M01,100-0,A,SF-100,A,202406,41,5,2662
E1,M01,100-0,B,SF-100,A,202406,41,0,1879
E1,M01,100-0,C,SF-100,A,202406,41,2,1566
E1,M01,100-0,D,SF-100,A,202406,41,2,1174
E1,M01,100-0,E,SF-100,A,202406,41,1,548
E1,M01,100-0,ALL,SF-100,A,202406,41,10,7830
E1,M01,100-0,A,SF-100,A,202407,42,4,2706
E1,M01,100-0,B,SF-100,A,202407,42,4,1910
E1,M01,100-0,C,SF-100,A,202407,42,4,1592
E1,M01,100-0,D,SF-100,A,202407,42,1,1194
E1,M01,100-0,E,SF-100,A,202407,42,1,557
E1,M01,100-0,ALL,SF-100,A,202407,42,14,7960
E1,M01,100-0,A,SF-100,A,202408,43,3,2751
E1,M01,100-0,B,SF-100,A,202408,43,2,1942
E1,M01,100-0,C,SF-100,A,202408,43,1,1618
E1,M01,100-0,D,SF-100,A,202408,43,3,1214
E1,M01,100-0,E,SF-100,A,202408,43,2,566
E1,M01,100-0,ALL,SF-100,A,202408,43,11,8090
E1,M01,100-0,A,SF-100,A,202409,44,1,2795
E1,M01,100-0,B,SF-100,A,202409,44,3,1973
E1,M01,100-0,C,SF-100,A,202409,44,3,1644
E1,M01,100-0,D,SF-100,A,202409,44,2,1233
E1,M01,100-0,E,SF-100,A,202409,44,1,575
E1,M01,100-0,ALL,SF-100,A,202409,44,10,8220
E1,M01,100-0,A,SF-100,A,202410,45,3,2839
E1,M01,100-0,B,SF-100,A,202410,45,2,2004
E1,M01,100-0,C,SF-100,A,202410,45,2,1670
E1,M01,100-0,D,SF-100,A,202410,45,3,1252
E1,M01,100-0,E,SF-100,A,202410,45,0,584
E1,M01,100-0,ALL,SF-100,A,202410,45,10,8350
E1,M01,100-0,A,SF-100,A,202411,46,5,2883
E1,M01,100-0,B,SF-100,A,202411,46,6,2035
E1,M01,100-0,C,SF-100,A,202411,46,1,1696
E1,M01,100-0,D,SF-100,A,202411,46,1,1272
E1,M01,100-0,E,SF-100,A,202411,46,0,594
E1,M01,100-0,ALL,SF-100,A,202411,46,13,8480
E1,M01,100-0,A,SF-100,A,202412,47,2,2927
E1,M01,100-0,B,SF-100,A,202412,47,2,2066
E1,M01,100-0,C,SF-100,A,202412,47,16,1722
E1,M01,100-0,D,SF-100,A,202412,47,0,1292
E1,M01,100-0,E,SF-100,A,202412,47,3,603
E1,M01,100-0,ALL,SF-100,A,202412,47,23,8610
E1,M01,101-0,A,SF-101,A,202101,0,1,850
E1,M01,101-0,B,SF-101,A,202101,0,1,600
E1,M01,101-0,ALL,SF-101,A,202101,0,2,2500
E1,M01,101-0,A,SF-101,A,202102,1,1,894
E1,M01,101-0,ALL,SF-101,A,202102,1,1,2630
E1,M01,101-0,A,SF-101,A,202103,2,1,938
E1,M01,101-0,B,SF-101,A,202103,2,0,662
E1,M01,101-0,C,SF-101,A,202103,2,1,552
E1,M01,101-0,D,SF-101,A,202103,2,0,414
E1,M01,101-0,ALL,SF-101,A,202103,2,2,2760
E1,M01,101-0,A,SF-101,A,202104,3,1,983
E1,M01,101-0,B,SF-101,A,202104,3,1,694
E1,M01,101-0,C,SF-101,A,202104,3,2,578
E1,M01,101-0,D,SF-101,A,202104,3,0,434
E1,M01,101-0,ALL,SF-101,A,202104,3,4,2890
E1,M01,101-0,A,SF-101,A,202105,4,0,1027
E1,M01,101-0,B,SF-101,A,202105,4,1,725
E1,M01,101-0,C,SF-101,A,202105,4,1,604
E1,M01,101-0,D,SF-101,A,202105,4,0,453
E1,M01,101-0,ALL,SF-101,A,202105,4,2,3020
E1,M01,101-0,A,SF-101,A,202106,5,1,1071
E1,M01,101-0,B,SF-101,A,202106,5,1,756
E1,M01,101-0,C,SF-101,A,202106,5,0,630
E1,M01,101-0,D,SF-101,A,202106,5,1,472
E1,M01,101-0,ALL,SF-101,A,202106,5,3,3150
E1,M01,101-0,A,SF-101,A,202107,6,2,1115
E1,M01,101-0,B,SF-101,A,202107,6,0,787
E1,M01,101-0,C,SF-101,A,202107,6,1,656
E1,M01,101-0,D,SF-101,A,202107,6,0,492
E1,M01,101-0,ALL,SF-101,A,202107,6,3,3280
E1,M01,101-0,A,SF-101,A,202108,7,2,1159
E1,M01,101-0,B,SF-101,A,202108,7,4,818
E1,M01,101-0,C,SF-101,A,202108,7,3,682
E1,M01,101-0,D,SF-101,A,202108,7,0,512
E1,M01,101-0,ALL,SF-101,A,202108,7,9,3410
E1,M01,101-0,A,SF-101,A,202109,8,0,1204
E1,M01,101-0,B,SF-101,A,202109,8,2,850
E1,M01,101-0,C,SF-101,A,202109,8,0,708
E1,M01,101-0,D,SF-101,A,202109,8,1,531
E1,M01,101-0,E,SF-101,A,202109,8,0,248
E1,M01,101-0,ALL,SF-101,A,202109,8,3,3540
