biz,sf,dev,nb,n_peers,C,E,expected,O_E,p,peer_rate,alert_peer,注目度,cover
E1,SF-101,M02,1,8,691,179080,162.75,4.245775729646698,1.0543086297522363e-169,0.0009088117042662497,True,3.0,36
E1,SF-102,M06,1,8,490,179080,197.5,2.481012658227848,1.3239361787920808e-58,0.001102859057404512,True,3.0,36
E1,SF-100,M08,1,8,250,179080,207.25,1.2062726176115801,0.003732684968365637,0.0011573039982130892,True,1.0551703657687126,36
E1,SF-100,M04,1,7,236,179080,203.14285714285714,1.1617440225035163,0.019307631114938845,0.001134369316187498,False,0.7450015908039929,36
E1,SF-101,M03,1,7,185,179080,159.57142857142856,1.159355416293644,0.035937585240855205,0.0008910622546986183,False,0.62774110314854,36
E1,SF-102,M01,1,7,214,179080,195.14285714285714,1.0966325036603222,0.11259202201962609,0.0010896965442419987,False,0.4122033972477563,36
E1,SF-103,M06,2,8,274,179080,254.12499999999997,1.0782095425479588,0.12820113188618976,0.0014190585213312485,False,0.3876994833186871,36
E1,SF-104,M02,2,3,376,179080,353.3333333333333,1.0641509433962264,0.15731853249607272,0.001973047427592882,False,0.34906981436882156,36
E1,SF-103,M09,2,8,272,179080,254.375,1.0692874692874692,0.15749793691237715,0.0014204545454545455,False,0.3488547008227839,36
E1,SF-102,M05,1,7,210,179080,195.7142857142857,1.0729927007299271,0.18022530554400126,0.0010928874565238201,False,0.323413528257907,36
E1,SF-101,M01,1,7,174,179080,161.14285714285714,1.0797872340425532,0.18328927509977452,0.0008998372634736271,False,0.32023178653936746,36
E1,SF-104,M06,1,3,191,179080,177.0,1.07909604519774,0.1945207675641855,0.0009883850792941702,False,0.3090068476931088,36
E1,SF-100,M05,1,7,219,179080,205.57142857142858,1.0653231410701876,0.20094194135452834,0.001147930693385239,False,0.30287714959512335,36
E1,SF-104,M03,1,3,189,179080,177.66666666666666,1.0637898686679175,0.24468149483590534,0.0009921078102896285,False,0.2657066079439183,36
E1,SF-102,M07,1,7,207,179080,196.14285714285714,1.0553532410779316,0.24519857416133048,0.0010952806407351862,False,0.2653081710081766,36
E1,SF-105,M01,1,8,57,179080,51.25,1.1121951219512196,0.24532949943449134,0.0002861849452758544,False,0.2652074194762756,36
E1,SF-100,M02,1,7,215,179080,206.14285714285717,1.0429660429660428,0.29289634704549866,0.0011511216056670603,False,0.2317597101028886,36
E1,SF-103,M07,2,8,262,179080,255.625,1.0249388753056234,0.36322961613517557,0.0014274346660710297,False,0.19113994562707623,36
E1,SF-105,M06,1,8,54,179080,51.62500000000001,1.046004842615012,0.3992945680149072,0.00028827898146079967,False,0.17327309884665407,36
E1,SF-105,M07,1,8,54,179080,51.62500000000001,1.046004842615012,0.3992945680149072,0.00028827898146079967,False,0.17327309884665407,36
E1,SF-105,M08,1,8,54,179080,51.62500000000001,1.046004842615012,0.3992945680149072,0.00028827898146079967,False,0.17327309884665407,36
E1,SF-102,M04,1,7,201,179080,197.0,1.0203045685279188,0.40625079766770394,0.0011000670091579183,False,0.17001333055993673,36
E1,SF-102,M08,1,7,201,179080,197.0,1.0203045685279188,0.40625079766770394,0.0011000670091579183,False,0.17001333055993673,36
E1,SF-104,M07,2,3,363,179080,357.6666666666667,1.0149114631873253,0.41366287777036614,0.001997245179063361,False,0.16660080563666826,36
E1,SF-103,M03,2,8,260,179080,255.87499999999997,1.016121152906693,0.4137227529506926,0.0014288306901943265,False,0.16657348876968842,36
E1,SF-103,M04,2,8,260,179080,255.87499999999997,1.016121152906693,0.4137227529506926,0.0014288306901943265,False,0.16657348876968842,36
E1,SF-103,M08,2,8,260,179080,255.87499999999997,1.016121152906693,0.4137227529506926,0.0014288306901943265,False,0.16657348876968842,36
E1,SF-100,M03,1,7,209,179080,206.99999999999997,1.0096618357487923,0.45937059400823343,0.0011559079740897922,False,0.1468198196746457,36
E1,SF-104,M08,1,3,182,179080,180.0,1.011111111111111,0.4629326449243852,0.0010051373687737324,False,0.14536194371186764,36
E1,SF-101,M09,1,7,164,179080,162.57142857142858,1.008787346221441,0.4707917209940789,0.0009078145441781806,False,0.14218466667952606,36
E1,SF-101,M08,1,7,163,179080,162.71428571428572,1.0017559262510973,0.5041757403255812,0.0009086122722486359,False,0.12925431475490978,36
E1,SF-100,M01,1,7,186,179080,210.2857142857143,0.8845108695652173,0.9485564805564821,0.0011742557197102653,False,0.0,36
E1,SF-100,M06,1,7,196,179080,208.85714285714286,0.9384404924760602,0.8079538794664461,0.0011662784390057118,False,0.0,36
E1,SF-100,M07,1,7,204,179080,207.7142857142857,0.9821182943603852,0.6063698239432264,0.001159896614442069,False,0.0,36
E1,SF-100,M09,1,7,193,179080,209.2857142857143,0.9221843003412968,0.8637615085281876,0.0011686716232170778,False,0.0,36
E1,SF-101,M04,1,7,161,179080,163.0,0.9877300613496932,0.570797357851188,0.0009102077283895466,False,0.0,36
E1,SF-101,M05,1,7,156,179080,163.7142857142857,0.9528795811518326,0.726043622531463,0.0009141963687418232,False,0.0,36
E1,SF-101,M06,1,7,158,179080,163.42857142857142,0.9667832167832169,0.666924641676797,0.0009126009126009125,False,0.0,36
E1,SF-101,M07,1,7,141,179080,165.85714285714286,0.8501291989664083,0.9707860560969339,0.0009261622897986534,False,0.0,36
