biz,dev,part,dist,ym,use,fleet,base_rate,expected,O_E,p,alert_dist,注目度
E1,M01,100-0,C,202412,16.0,1722.0,0.0012341704228375188,2.1252414681262075,7.528556279351613,3.869218784522065e-08,True,3.0
E1,M10,100-0,A,202412,8.0,2397.0,0.0005924872615238773,1.4201919658727338,5.633041301627034,0.0004669595478550785,True,1.447491230662017
E1,M07,104-0,A,202412,7.0,2530.0,0.0008919611996878136,2.2566618352101684,3.1019268774703557,0.014405217595393956,False,0.800285168228045
E1,M08,100-0,D,202412,4.0,1096.0,0.0008593280054996992,0.9418234940276704,4.247080291970803,0.027210481244927226,False,0.6802448382524285
E1,M07,100-0,C,202412,6.0,1488.0,0.0013899418751579479,2.0682335102350264,2.901026392961877,0.029141849610019695,False,0.6673024212023707
E1,M10,101-0,D,202412,3.0,1058.0,0.0005372011818426001,0.5683588503894709,5.2783553875236295,0.0365648618765248,False,0.6244751548168975
E1,M13,103-1,B,202412,4.0,1505.0,0.0007040450588837686,1.0595878136200716,3.775052854122622,0.03699375611771825,False,0.6222741874561677
E1,M03,102-0,A,202412,7.0,2795.0,0.0010634762379528083,2.972416085078099,2.3549865831842576,0.04405833209896575,False,0.5892891228559234
E1,M11,104-1,D,202412,4.0,1018.0,0.00112139052425007,1.1415755536865713,3.5039292730844798,0.04437477276206177,False,0.5879383843108963
E1,M01,100-0,E,202412,3.0,603.0,0.0010731258623332823,0.6470948949869693,4.636105188343993,0.04625107070208135,False,0.5801220373061485
E1,M04,104-1,C,202412,10.0,1592.0,0.0032794565472007496,5.220894823143594,1.915380473797559,0.052386557551689666,False,0.556611665895817
E1,M02,104-1,A,202412,6.0,2839.0,0.0008817478201234447,2.50328206133046,2.3968533521192903,0.05660206773211294,False,0.5420041049639468
E1,M06,100-0,C,202412,5.0,1540.0,0.0012156576707999028,1.8721128130318503,2.6707792207792207,0.05754349994103047,False,0.5388907268012603
E1,M13,100-0,B,202412,4.0,1505.0,0.0009600614439324117,1.4448924731182795,2.768372093023256,0.07950880259291178,False,0.4778663420575322
E1,M11,102-0,A,202412,5.0,2309.0,0.0009070294784580499,2.0943310657596372,2.387397141619749,0.080091975078866,False,0.47648705080362963
E1,M02,100-0,B,202412,5.0,2004.0,0.0011103400416377516,2.2251214434420543,2.2470683632734527,0.09453491122587122,False,0.4451953174108281
E1,M10,104-0,B,202412,3.0,1692.0,0.0005595657769570813,0.9467852946113815,3.168617021276596,0.09605084049824554,False,0.44219277123066236
E1,M02,102-0,A,202412,6.0,2839.0,0.0010776917801508768,3.059566963848339,1.9610618335521472,0.10898081328430506,False,0.4183561088953755
E1,M11,103-1,A,202412,3.0,2309.0,0.00045351473922902497,1.0471655328798186,2.8648765699436987,0.11601641306304272,False,0.4065486185410255
E1,M04,103-1,A,202412,3.0,2706.0,0.00041337972372455133,1.118605532398636,2.681910569105691,0.13040603777680712,False,0.3844809941838803
E1,M03,100-0,B,202412,5.0,1973.0,0.001271186440677966,2.508050847457627,1.9935799966210508,0.1312715078817973,False,0.3832325209848391
E1,M04,104-1,E,202412,4.0,557.0,0.003513468295131337,1.9570018403881546,2.04394289133966,0.15956479146595806,False,0.3463939768388929
E1,M09,103-1,B,202412,3.0,1723.0,0.0007673335160317895,1.3221156481227734,2.2690904568443746,0.17656356820529093,False,0.32728773829137314
E1,M12,100-0,C,202412,3.0,1306.0,0.0010260920551158018,1.3400762239812372,2.238678626121199,0.18117638853342694,False,0.3224201348821304
E1,M04,100-0,D,202412,3.0,1194.0,0.0012493167798859998,1.4916842351838837,2.0111494974874375,0.21719706508888945,False,0.2881953076530377
E1,M09,104-1,B,202412,3.0,1723.0,0.0008769525897506166,1.5109893121403124,1.9854541497388276,0.22233374825466884,False,0.28378361496738197
E1,M13,104-0,A,202412,4.0,2132.0,0.0010843046896177825,2.3117375982651125,1.7303001876172608,0.22835973623722416,False,0.2787362478966564
E1,M11,102-0,C,202412,3.0,1358.0,0.0011914774320156995,1.61802635267732,1.854110716451529,0.24942651869832624,False,0.2620814921678161
E1,M07,100-0,B,202412,4.0,1786.0,0.0013689253935660506,2.4449007529089664,1.6360582306830909,0.2549732015866604,False,0.257930345922941
E1,M03,103-0,A,202412,4.0,2795.0,0.000897308075772682,2.507976071784646,1.5949115483999206,0.26779580338722264,False,0.24866961063219603
E1,M09,103-0,A,202412,3.0,2441.0,0.0006964057724300692,1.699926490501799,1.7647821930902636,0.27009645909547414,False,0.24705506245053818
E1,M06,102-0,A,202412,10.0,2618.0,0.003003325109943151,7.86270513783117,1.2718269125832151,0.28352233170499314,False,0.23789899703416076
E1,M04,104-2,C,202412,7.0,1592.0,0.0032794565472007496,5.220894823143594,1.3407663316582914,0.28953090333006143,False,0.23394092023212024
E1,M09,104-1,C,202412,3.0,1436.0,0.0012496711391739015,1.7945277558537225,1.6717490104090311,0.2944323992297136,False,0.23077248149971005
E1,M11,104-0,A,202412,3.0,2309.0,0.0007833436404864976,1.808740465883323,1.658612751020036,0.29830034701245256,False,0.22830916694407383
E1,M05,100-0,A,202412,4.0,2662.0,0.001017579564195235,2.7087967998877156,1.4766703800616594,0.3103165038860213,False,0.22085549828694395
E1,M08,100-0,C,202412,3.0,1462.0,0.001288992008249549,1.8845063160608406,1.5919288645690832,0.31763572074609525,False,0.21645552837422913
E1,M12,102-0,A,202412,3.0,2220.0,0.0008622547962923044,1.9142056477689158,1.5672297297297297,0.32570006169139937,False,0.2117235151617772
E1,M01,104-0,B,202412,3.0,2066.0,0.0009390511112104816,1.940079595760855,1.5463283086709998,0.3315568522651046,False,0.20835973152252998
E1,M12,100-0,B,202412,3.0,1567.0,0.0012825994014536127,2.009833262077811,1.4926611359285258,0.35041202149310374,False,0.19792049815949572
E1,M12,104-0,A,202412,3.0,2220.0,0.0009484802759215348,2.105626212545807,1.4247542997543,0.37506016681665105,False,0.18509061522604617
E1,M01,101-0,B,202412,3.0,2066.0,0.0010284845503733845,2.1248490810714125,1.4118649774822174,0.3792294497626786,False,0.18300410897664607
E1,M03,100-0,A,202412,4.0,2795.0,0.0011299435028248588,3.1581920903954805,1.2665474060822897,0.40627509224218056,False,0.17000204393441765
E1,M06,102-0,B,202412,6.0,1848.0,0.002735146634250114,5.054550980094211,1.187049062049062,0.4087678423196078,False,0.16884755006123456
E1,M01,104-0,C,202412,3.0,1722.0,0.0013414895900407814,2.3100450740502256,1.298675958188153,0.4262322873083036,False,0.16095125054869183
E1,M08,103-1,A,202412,4.0,2485.0,0.0013269135989687985,3.297380293437464,1.2130842196033345,0.4358932003192403,False,0.15672107984281045
E1,M10,101-0,A,202412,3.0,2397.0,0.0009874787692064622,2.3669866097878898,1.2674342928660824,0.4408785020497904,False,0.15457472446267143
E1,M04,104-2,B,202412,7.0,1910.0,0.0032697281733443952,6.245180811087795,1.1208642650621239,0.44543421303622793,False,0.15263444165006537
E1,M05,102-0,A,202412,3.0,2662.0,0.0009123127127267623,2.4285764412786413,1.235291567936196,0.45583410056692114,False,0.1482784619831855
E1,M05,104-1,A,202412,3.0,2662.0,0.0009123127127267623,2.4285764412786413,1.235291567936196,0.45583410056692114,False,0.1482784619831855
E1,M09,100-0,A,202412,3.0,2441.0,0.0010059194490656556,2.455449375169265,1.2217722875240287,0.4625975483264836,False,0.14549861317026258
E1,M04,104-0,C,202412,6.0,1592.0,0.003396579995315062,5.407355352541579,1.1095997227516894,0.4673320226404175,False,0.14357677203023822
E1,M06,102-0,C,202412,4.0,1540.0,0.0023097495745198152,3.5570143447605154,1.1245386192754614,0.48935737568241827,False,0.13488475253085971
E1,M04,104-1,B,202412,5.0,1910.0,0.0023912937387145575,4.5673710409448045,1.0947216582968267,0.4926035363562936,False,0.13363688231110335
E1,M05,100-0,B,202412,3.0,1879.0,0.0013918576328478401,2.615300492121092,1.147095719607694,0.5007751115051684,False,0.13053165940406933
E1,M11,100-0,A,202412,4.0,2309.0,0.0015666872809729953,3.617480931766646,1.1057418340133573,0.5017472649495196,False,0.1301656157287263
E1,M04,104-0,A,202412,8.0,2706.0,0.00285920975576148,7.737021599090565,1.0339896170046037,0.517852770983362,False,0.12420250760706672
E1,M04,104-1,D,202412,4.0,1194.0,0.0031232919497149996,3.7292105879597095,1.0726130653266333,0.5236492054848205,False,0.12210164647977777
E1,M07,100-0,A,202412,3.0,2530.0,0.0010777864496227748,2.7267997175456204,1.100190813684067,0.526772408363396,False,0.1209792924930036
E1,M08,104-0,A,202412,3.0,2485.0,0.0010994426962884331,2.732115100276756,1.0980503711926735,0.5280139539762148,False,0.12053497808039307
E1,M05,104-0,A,202412,3.0,2662.0,0.0010877574651742166,2.8956103722937647,1.036050992462616,0.5644387273118436,False,0.10794435384076946
E1,M01,100-0,A,202412,2.0,2927.0,0.0014519743694959124,4.249928979514536,0.47059609928551266,,False,0.0
E1,M01,100-0,B,202412,2.0,2066.0,0.0011179179895362877,2.3096185663819706,0.8659438528557598,,False,0.0
E1,M01,100-0,D,202412,0.0,1292.0,0.0013593761179079918,1.7563139443371254,0.0,,False,0.0
E1,M01,101-0,A,202412,2.0,2927.0,0.001041633786812285,3.048862093999558,0.6559824414282904,,False,0.0
E1,M01,101-0,C,202412,1.0,1722.0,0.0008048937540244687,1.3860270444301352,0.721486643437863,,False,0.0
E1,M01,101-0,D,202412,0.0,1292.0,0.0012162838949703084,1.5714387923016384,0.0,,False,0.0
E1,M01,101-0,E,202412,0.0,603.0,0.0007665184730952016,0.46221063927640654,0.0,,False,0.0
E1,M01,102-0,A,202412,1.0,2927.0,0.0011363277674315837,3.3260313752722452,0.3006586189879664,,False,0.0
E1,M01,102-0,B,202412,1.0,2066.0,0.0012520681482806422,2.586772794347807,0.38658207716774995,,False,0.0
E1,M01,102-0,C,202412,2.0,1722.0,0.0009658725048293626,1.6632324533161624,1.2024777390631047,,False,0.0
E1,M01,102-0,D,202412,0.0,1292.0,0.0013593761179079918,1.7563139443371254,0.0,,False,0.0
E1,M01,102-0,E,202412,1.0,603.0,0.000919822167714242,0.5546527671316879,1.8029297954671089,,False,0.0
E1,M01,103-0,A,202412,1.0,2927.0,0.0007575518449543891,2.2173542501814967,0.4509879284819497,,False,0.0
E1,M01,103-0,B,202412,1.0,2066.0,0.0010284845503733845,2.1248490810714125,0.4706216591607391,,False,0.0
E1,M01,103-0,C,202412,2.0,1722.0,0.0007512341704228376,1.2936252414681262,1.5460428073668493,,False,0.0
E1,M01,103-0,D,202412,1.0,1292.0,0.0009300994490949417,1.2016884882306647,0.83216241962372,,False,0.0
E1,M01,103-0,E,202412,0.0,603.0,,,,,False,0.0
E1,M01,103-1,A,202412,3.0,2927.0,0.001041633786812285,3.048862093999558,0.9839736621424356,,False,0.0
E1,M01,103-1,B,202412,0.0,2066.0,0.0006260340741403211,1.2933863971739035,0.0,,False,0.0
E1,M01,103-1,C,202412,2.0,1722.0,0.000643915003219575,1.108821635544108,1.8037166085946577,,False,0.0
E1,M01,103-1,D,202412,1.0,1292.0,0.0007870072261572583,1.0168133361951777,0.9834646777371236,,False,0.0
E1,M01,103-1,E,202412,0.0,603.0,0.0007665184730952016,0.46221063927640654,0.0,,False,0.0
E1,M01,104-0,A,202412,3.0,2927.0,0.0011047631072251508,3.2336416148480165,0.9277465957342964,,False,0.0
E1,M01,104-0,D,202412,0.0,1292.0,0.0011447377835014667,1.479001216283895,0.0,,False,0.0
E1,M01,104-0,E,202412,0.0,603.0,,,,,False,0.0
E1,M01,105-0,A,202412,1.0,2927.0,0.00022095262144503016,0.6467283229696033,1.5462443262238275,,False,0.0
E1,M01,105-0,B,202412,1.0,2066.0,0.000268300317488709,0.5543084559316728,1.8040496934495,,False,0.0
E1,M01,105-0,C,202412,2.0,1722.0,0.00016097875080489375,0.277205408886027,7.214866434378631,,False,0.0
E1,M01,105-0,D,202412,1.0,1292.0,0.000214638334406525,0.2773127280532303,3.606037151702786,,False,0.0
E1,M01,105-0,E,202412,0.0,603.0,,,,,False,0.0
E1,M02,100-0,A,202412,2.0,2839.0,0.0017308383135756506,4.913849972241272,0.4070128333787475,,False,0.0
E1,M02,100-0,C,202412,2.0,1670.0,0.0012214079502553853,2.0397512769264936,0.9805117038649972,,False,0.0
E1,M02,100-0,D,202412,0.0,1252.0,0.0012584203123843364,1.5755422311051892,0.0,,False,0.0
E1,M02,100-0,E,202412,0.0,584.0,0.0012690355329949238,0.7411167512690354,0.0,,False,0.0
E1,M02,101-0,A,202412,9.0,2839.0,0.0037229352405212107,10.569413147839716,0.851513690884485,,False,0.0
E1,M02,101-0,B,202412,7.0,2004.0,0.0038399259773305573,7.695211658570437,0.9096565904335907,,False,0.0
E1,M02,101-0,C,202412,5.0,1670.0,0.004608039085054408,7.695425272040862,0.6497366712358416,,False,0.0
E1,M02,101-0,D,202412,2.0,1252.0,0.0034791620401214006,4.355910874231993,0.4591462171164435,,False,0.0
E1,M02,101-0,E,202412,1.0,584.0,0.005869289340101523,3.4276649746192893,0.29174379859311367,,False,0.0
E1,M02,102-0,B,202412,2.0,2004.0,0.0010640758732361785,2.1324080499653015,0.9379067951054414,,False,0.0
E1,M02,102-0,C,202412,2.0,1670.0,0.000999333777481679,1.6688874083944039,1.1984031936127744,,False,0.0
