biz,sf,dev,nb,n_peers,C,E,expected,O_E,p,peer_rate,alert_peer,注目度,cover
E1,SF-101,M02,1,5,691.0,179080,166.8,4.142685851318944,7.028107931553448e-150,0.0009314272950636587,True,2.071,36
E1,SF-102,M06,1,5,490.0,179080,197.79999999999998,2.477249747219414,7.93938944719508e-54,0.0011045342863524681,True,1.239,36
E1,SF-100,M01,1,5,186.0,179080,214.99999999999997,0.8651162790697675,0.9703566833269223,0.0012005807460352914,False,0.0,36
E1,SF-100,M02,1,5,215.0,179080,209.2,1.0277246653919694,0.36884859952567756,0.0011681929863748045,False,0.0,36
E1,SF-100,M03,1,5,209.0,179080,210.39999999999998,0.9933460076045628,0.5468287466092441,0.0011748939021666294,False,0.0,36
E1,SF-100,M04,1,5,236.0,179080,205.0,1.1512195121951219,0.029162925201309114,0.0011447397811034175,False,0.0,36
E1,SF-100,M05,1,5,219.0,179080,208.4,1.0508637236084453,0.2627998117611504,0.0011637257091802547,False,0.0,36
E1,SF-100,M06,1,5,196.0,179080,213.0,0.92018779342723,0.8665766540145673,0.0011894125530489167,False,0.0,36
E1,SF-101,M01,1,4,174.0,179080,165.0,1.0545454545454545,0.2790346754252089,0.0009213759213759214,False,0.0,36
E1,SF-101,M03,1,4,185.0,179080,162.25,1.140215716486903,0.0640909199366067,0.000906019656019656,False,0.0,36
E1,SF-101,M04,1,4,161.0,179080,168.25,0.9569093610698366,0.7051390012141547,0.0009395242349787804,False,0.0,36
E1,SF-101,M05,1,4,156.0,179080,169.5,0.9203539823008849,0.8359479782625544,0.0009465043555952646,False,0.0,36
E1,SF-101,M06,1,4,158.0,179080,169.0,0.9349112426035503,0.7887346681428874,0.000943712307348671,False,0.0,36
E1,SF-102,M01,1,4,214.0,179080,193.75,1.104516129032258,0.10676414544192131,0.0010819186955550592,False,0.0,36
E1,SF-102,M02,1,4,179.0,179080,202.50000000000003,0.8839506172839505,0.9389122789427811,0.001130779539870449,False,0.0,36
E1,SF-102,M03,1,4,185.0,179080,201.0,0.9203980099502488,0.8550534786115835,0.0011224033951306679,False,0.0,36
E1,SF-102,M04,1,4,201.0,179080,197.0,1.0203045685279188,0.41208012971206776,0.0011000670091579183,False,0.0,36
E1,SF-102,M05,1,4,210.0,179080,194.75,1.0783055198973042,0.17586771688837205,0.0010875027920482466,False,0.0,36
E1,SF-103,M01,2,5,242.0,179080,254.2,0.952006294256491,0.7680086622608295,0.0014194773285682377,False,0.0,36
E1,SF-103,M02,2,5,224.0,179080,257.8,0.8688906128782001,0.9773183352602708,0.0014395800759437122,False,0.0,36
E1,SF-103,M03,2,5,260.0,179080,250.60000000000002,1.037509976057462,0.3044805635346297,0.001399374581192763,False,0.0,36
E1,SF-103,M04,2,5,260.0,179080,250.60000000000002,1.037509976057462,0.3044805635346297,0.001399374581192763,False,0.0,36
E1,SF-103,M05,2,5,253.0,179080,252.0,1.003968253968254,0.48777155519670945,0.0014071923162832253,False,0.0,36
E1,SF-103,M06,2,5,274.0,179080,247.8,1.105730427764326,0.07170978814215502,0.0013837391110118383,False,0.0,36
E1,SF-104,M01,1,2,160.0,179080,190.00000000000003,0.8421052631578946,0.9703007961106945,0.0010609783337056065,False,0.0,36
E1,SF-104,M03,1,2,189.0,179080,175.5,1.0769230769230769,0.2183067240190514,0.000980008934554389,False,0.0,36
E1,SF-104,M06,1,2,191.0,179080,174.5,1.0945558739255015,0.1687923770558367,0.0009744248380612017,False,0.0,36
E1,SF-105,M01,1,5,57.0,179080,50.2,1.1354581673306772,0.2128944854259115,0.0002803216439580076,False,0.0,36
E1,SF-105,M02,1,5,50.0,179080,51.599999999999994,0.9689922480620156,0.6042902856756891,0.00028813937904846994,False,0.0,36
E1,SF-105,M03,1,5,51.0,179080,51.4,0.9922178988326849,0.5440265138966148,0.0002870225597498325,False,0.0,36
E1,SF-105,M04,1,5,45.0,179080,52.599999999999994,0.855513307984791,0.8524228122098875,0.00029372347554165734,False,0.0,36
E1,SF-105,M05,1,5,51.0,179080,51.4,0.9922178988326849,0.5440265138966148,0.0002870225597498325,False,0.0,36
E1,SF-105,M06,1,5,54.0,179080,50.800000000000004,1.0629921259842519,0.3645621848961409,0.00028367210185392005,False,0.0,36
