biz,dev,part,欠測販社,最大欠測月数
E1,M01,100-0,B/C/D,3
E1,M09,102-0,B/C/D,3
E1,M10,103-1,B/C/D,3
E1,M10,103-0,B/C/D,3
E1,M10,102-0,B/C/D,3
E1,M10,101-0,B/C/D,3
E1,M10,100-0,B/C/D,3
E1,M09,105-0,B/C/D,3
E1,M09,104-1,B/C/D,3
E1,M09,104-0,B/C/D,3
E1,M09,103-1,B/C/D,3
E1,M09,103-0,B/C/D,3
E1,M09,101-0,B/C/D,3
E1,M01,101-0,B/C/D,3
E1,M09,100-0,B/C/D,3
E1,M08,105-0,B/C/D,3
E1,M08,104-0,B/C/D,3
E1,M08,103-1,B/C/D,3
E1,M08,103-0,B/C/D,3
E1,M08,102-0,B/C/D,3
E1,M08,101-0,B/C/D,3
E1,M08,100-0,B/C/D,3
E1,M07,105-0,B/C/D,3
E1,M07,104-1,B/C/D,3
E1,M10,104-0,B/C/D,3
E1,M10,105-0,B/C/D,3
E1,M11,100-0,B/C/D,3
E1,M11,101-0,B/C/D,3
E1,M13,104-1,B/C/D,3
E1,M13,104-0,B/C/D,3
E1,M13,103-1,B/C/D,3
E1,M13,103-0,B/C/D,3
E1,M13,102-0,B/C/D,3
E1,M13,101-0,B/C/D,3
E1,M13,100-0,B/C/D,3
E1,M12,105-0,B/C/D,3
E1,M12,104-0,B/C/D,3
E1,M12,103-1,B/C/D,3
E1,M12,103-0,B/C/D,3
E1,M12,102-0,B/C/D,3
E1,M12,101-0,B/C/D,3
E1,M12,100-0,B/C/D,3
E1,M11,105-0,B/C/D,3
E1,M11,104-2,B/C/D,3
E1,M11,104-1,B/C/D,3
E1,M11,104-0,B/C/D,3
E1,M11,103-1,B/C/D,3
E1,M11,103-0,B/C/D,3
E1,M11,102-0,B/C/D,3
E1,M07,104-0,B/C/D,3
E1,M07,103-1,B/C/D,3
E1,M07,103-0,B/C/D,3
E1,M04,102-0,B/C/D,3
E1,M04,100-0,B/C/D,3
E1,M03,105-0,B/C/D,3
E1,M03,104-0,B/C/D,3
E1,M03,103-1,B/C/D,3
E1,M03,103-0,B/C/D,3
E1,M03,102-0,B/C/D,3
E1,M03,101-0,B/C/D,3
E1,M03,100-0,B/C/D,3
E1,M02,105-0,B/C/D,3
E1,M02,104-1,B/C/D,3
E1,M02,104-0,B/C/D,3
E1,M02,103-1,B/C/D,3
E1,M02,103-0,B/C/D,3
E1,M02,102-0,B/C/D,3
E1,M02,101-0,B/C/D,3
E1,M02,100-0,B/C/D,3
E1,M01,105-0,B/C/D,3
E1,M01,104-0,B/C/D,3
E1,M01,103-1,B/C/D,3
E1,M01,103-0,B/C/D,3
E1,M01,102-0,B/C/D,3
E1,M04,101-0,B/C/D,3
E1,M04,103-0,B/C/D,3
E1,M07,102-0,B/C/D,3
E1,M04,103-1,B/C/D,3
E1,M07,101-0,B/C/D,3
E1,M07,100-0,B/C/D,3
E1,M06,105-0,B/C/D,3
E1,M06,104-0,B/C/D,3
E1,M06,103-1,B/C/D,3
E1,M06,103-0,B/C/D,3
E1,M06,102-0,B/C/D,3
E1,M06,101-0,B/C/D,3
E1,M06,100-0,B/C/D,3
E1,M05,105-0,B/C/D,3
E1,M05,104-1,B/C/D,3
E1,M05,104-0,B/C/D,3
E1,M05,103-1,B/C/D,3
E1,M05,103-0,B/C/D,3
E1,M05,102-0,B/C/D,3
E1,M05,101-0,B/C/D,3
E1,M05,100-0,B/C/D,3
E1,M04,105-0,B/C/D,3
E1,M04,104-2,B/C/D,3
E1,M04,104-1,B/C/D,3
E1,M04,104-0,B/C/D,3
E1,M13,105-0,B/C/D,3
