抽出年月,dist,ym,使用数計,台数計,rate
202501,A,202101,3.0,2550,0.001176470588235294
202501,A,202102,4.0,2682,0.0014914243102162564
202501,A,202103,11.0,10816,0.0010170118343195266
202501,A,202104,25.0,15601,0.0016024613806807256
202501,A,202105,22.0,18269,0.0012042257375882643
202501,A,202106,32.0,27027,0.001184001184001184
202501,A,202107,40.0,29878,0.0013387776959635854
202501,A,202108,53.0,41076,0.001290291167591781
202501,A,202109,54.0,45666,0.0011824990145841545
202501,A,202110,84.0,53736,0.0015631978561857973
202501,A,202111,70.0,57651,0.0012142027024683007
202501,A,202112,88.0,66248,0.001328341987682647
202501,A,202201,95.0,76986,0.0012339905956927234
202501,A,202202,88.0,82903,0.0010614814904165108
202501,A,202203,99.0,94089,0.0010521952619328508
202501,A,202204,102.0,98569,0.001034808103967779
202501,A,202205,91.0,105848,0.0008597233769178444
202501,A,202206,100.0,112331,0.0008902262064790663
202501,A,202207,142.0,120784,0.0011756524042919592
202501,A,202208,125.0,128519,0.0009726188345692077
202501,A,202209,165.0,134729,0.001224680655241262
202501,A,202210,141.0,139144,0.001013338699476801
202501,A,202211,138.0,143561,0.0009612638529962873
202501,A,202212,153.0,147984,0.0010338955562763541
202501,A,202301,139.0,152407,0.0009120315995984436
202501,A,202302,173.0,156829,0.0011031123070350509
202501,A,202303,156.0,161244,0.0009674778596412889
202501,A,202304,170.0,165661,0.0010261920427861717
202501,A,202305,166.0,170084,0.0009759883351755603
202501,A,202306,175.0,174507,0.0010028251015718568
202501,A,202307,186.0,178929,0.0010395184682192378
202501,A,202308,172.0,183344,0.0009381272362335283
202501,A,202309,184.0,187761,0.0009799692161844046
202501,A,202310,182.0,192184,0.0009470091162635808
202501,A,202311,187.0,196607,0.000951136022623813
202501,A,202312,193.0,201029,0.0009600604887852001
202501,A,202401,204.0,205444,0.0009929713206518565
202501,A,202402,198.0,209861,0.0009434816378460028
202501,A,202403,207.0,214284,0.0009660077280618245
202501,A,202404,225.0,218707,0.0010287736560786805
202501,A,202405,195.0,223129,0.0008739339126693527
202501,A,202406,242.0,227544,0.0010635305699117532
202501,A,202407,224.0,231961,0.0009656795754458724
202501,A,202408,238.0,236384,0.0010068363341004466
202501,A,202409,233.0,240807,0.0009675798461008193
202501,A,202410,233.0,245229,0.0009501323252959479
202501,A,202411,214.0,249644,0.0008572206822515262
202501,A,202412,237.0,254061,0.0009328468359960796
202501,A,202501,252.0,258484,0.0009749152752201297
202501,B,202101,5.0,1800,0.002777777777777778
202501,B,202102,1.0,631,0.001584786053882726
202501,B,202103,6.0,6434,0.0009325458501709667
202501,B,202104,17.0,9782,0.0017378859129012472
202501,B,202105,15.0,13526,0.0011089753068165016
202501,B,202106,23.0,18478,0.0012447234549193636
202501,B,202107,25.0,22384,0.0011168691922802002
202501,B,202108,45.0,28393,0.0015848976860493784
202501,B,202109,32.0,30973,0.001033157911729571
202501,B,202110,35.0,36731,0.0009528735945114481
202501,B,202111,34.0,41296,0.000823324292909725
202501,B,202112,55.0,46794,0.0011753643629525152
202501,B,202201,68.0,54341,0.0012513571704606099
202501,B,202202,61.0,58520,0.0010423786739576213
202501,B,202203,59.0,65216,0.0009046859666339549
202501,B,202204,68.0,70211,0.0009685092079588668
202501,B,202205,65.0,75915,0.0008562207732332214
202501,B,202206,75.0,79291,0.0009458828870868068
202501,B,202207,90.0,85259,0.0010556070326886312
202501,B,202208,98.0,89458,0.0010954861499251046
202501,B,202209,78.0,95104,0.0008201547779273216
202501,B,202210,102.0,98219,0.0010384956067563302
202501,B,202211,91.0,101336,0.0008980026841398911
202501,B,202212,73.0,104459,0.0006988387788510325
202501,B,202301,98.0,107582,0.0009109330557156402
202501,B,202302,112.0,110704,0.0010117068940598353
202501,B,202303,116.0,113819,0.001019162002829053
202501,B,202304,110.0,116936,0.0009406855031812273
202501,B,202305,119.0,120059,0.0009911793368260606
202501,B,202306,123.0,123182,0.0009985225114058872
202501,B,202307,117.0,126304,0.0009263364580694198
202501,B,202308,124.0,129419,0.0009581282501023807
202501,B,202309,138.0,132536,0.0010412265346773707
202501,B,202310,128.0,135659,0.0009435422640591483
202501,B,202311,131.0,138782,0.000943926445792682
202501,B,202312,128.0,141904,0.0009020182658698838
202501,B,202401,125.0,145019,0.0008619560195560581
202501,B,202402,156.0,148136,0.0010530863530809527
202501,B,202403,161.0,151259,0.0010643994737503223
202501,B,202404,132.0,154382,0.0008550219585184802
202501,B,202405,166.0,157504,0.001053941487200325
202501,B,202406,155.0,160619,0.0009650165920594699
202501,B,202407,145.0,163736,0.0008855718962231886
202501,B,202408,155.0,166859,0.0009289280170683031
202501,B,202409,161.0,169982,0.0009471591109646904
202501,B,202410,177.0,173104,0.0010225067011738608
202501,B,202411,187.0,176219,0.0010611795549855577
202501,B,202412,136.0,179336,0.0007583530356425926
202501,B,202501,97.0,182459,0.000531626283164985
202501,C,202101,6.0,2000,0.003
202501,C,202102,2.0,1052,0.0019011406844106464
202501,C,202103,6.0,4864,0.0012335526315789473
202501,C,202104,16.0,7624,0.002098635886673662
202501,C,202105,9.0,8644,0.0010411846367422489
202501,C,202106,19.0,15398,0.0012339264839589558
202501,C,202107,21.0,17626,0.0011914217633042098
202501,C,202108,27.0,21588,0.0012506948304613673
202501,C,202109,32.0,25810,0.0012398295234405268
202501,C,202110,35.0,31110,0.0011250401800064287
202501,C,202111,38.0,33384,0.001138269829858615
202501,C,202112,54.0,39522,0.0013663276149992408
202501,C,202201,63.0,44738,0.0014081988466180875
202501,C,202202,53.0,48240,0.0010986733001658374
202501,C,202203,56.0,53346,0.0010497506842124995
202501,C,202204,46.0,56926,0.0008080666127955592
202501,C,202205,57.0,61766,0.000922837807207849
202501,C,202206,54.0,66080,0.0008171912832929783
202501,C,202207,65.0,70550,0.0009213323883770375
202501,C,202208,87.0,74546,0.0011670646312344057
202501,C,202209,83.0,79250,0.0010473186119873818
202501,C,202210,78.0,81850,0.0009529627367135003
202501,C,202211,88.0,84450,0.0010420367081113084
202501,C,202212,94.0,87050,0.0010798391728891442
202501,C,202301,101.0,89650,0.0011266034578918014
202501,C,202302,84.0,92250,0.0009105691056910569
202501,C,202303,102.0,94850,0.0010753821823932526
202501,C,202304,102.0,97450,0.0010466906105695228
202501,C,202305,103.0,100050,0.0010294852573713143
202501,C,202306,105.0,102650,0.0010228933268387726
202501,C,202307,103.0,105250,0.0009786223277909738
202501,C,202308,121.0,107850,0.0011219286045433471
202501,C,202309,109.0,110450,0.0009868718877320054
202501,C,202310,128.0,113050,0.0011322423706324634
202501,C,202311,115.0,115650,0.0009943795936013834
202501,C,202312,95.0,118250,0.0008033826638477801
202501,C,202401,131.0,120850,0.0010839884153909806
202501,C,202402,118.0,123450,0.000955852571891454
202501,C,202403,139.0,126050,0.0011027370091233636
202501,C,202404,130.0,128650,0.0010104935872522348
202501,C,202405,120.0,131250,0.0009142857142857143
202501,C,202406,123.0,133850,0.0009189391109450878
202501,C,202407,146.0,136450,0.0010699890069622573
202501,C,202408,132.0,139050,0.0009492988133764832
202501,C,202409,142.0,141650,0.0010024708789269326
202501,C,202410,142.0,144250,0.0009844020797227036
202501,C,202411,138.0,146850,0.0009397344228804903
202501,C,202412,103.0,149450,0.0006891937102709937
202501,D,202101,1.0,375,0.0026666666666666666
202501,D,202102,1.0,394,0.0025380710659898475
202501,D,202103,7.0,4398,0.0015916325602546612
202501,D,202104,8.0,4989,0.0016035277610743637
202501,D,202105,11.0,7271,0.0015128593040847202
202501,D,202106,13.0,10424,0.0012471220260936301
202501,D,202107,18.0,11663,0.001543342193260739
202501,D,202108,34.0,16564,0.002052644288819126
202501,D,202109,23.0,19357,0.001188200650927313
202501,D,202110,24.0,22212,0.0010804970286331713
202501,D,202111,23.0,23895,0.0009625444653693241
202501,D,202112,33.0,28885,0.0011424614851999308
202501,D,202201,31.0,31285,0.0009908902029726707
202501,D,202202,41.0,36581,0.0011208004155162515
202501,D,202203,40.0,40762,0.0009813061184436485
202501,D,202204,60.0,42688,0.0014055472263868067
202501,D,202205,39.0,46697,0.0008351714242884982
202501,D,202206,43.0,48779,0.0008815268865700404
202501,D,202207,43.0,53665,0.0008012671200968974
202501,D,202208,65.0,54326,0.001196480506571439
202501,D,202209,51.0,59435,0.0008580802557415664
202501,D,202210,60.0,61397,0.0009772464452660553
202501,D,202211,73.0,63340,0.001152510262077676
202501,D,202212,70.0,65278,0.0010723367750237445
202501,D,202301,59.0,67235,0.0008775191492526214
202501,D,202302,64.0,69197,0.0009248955879590156
202501,D,202303,84.0,71140,0.0011807703120607254
202501,D,202304,84.0,73078,0.0011494567448479707
202501,D,202305,80.0,75035,0.001066169121076831
202501,D,202306,71.0,76997,0.0009221138485915036
202501,D,202307,76.0,78940,0.0009627565239422346
202501,D,202308,75.0,80878,0.0009273226340908529
202501,D,202309,73.0,82835,0.0008812699945675137
202501,D,202310,93.0,84797,0.0010967369128624834
202501,D,202311,73.0,86740,0.000841595572976712
202501,D,202312,76.0,88678,0.0008570333115316088
202501,D,202401,86.0,90635,0.0009488608153583053
202501,D,202402,89.0,92597,0.0009611542490577449
202501,D,202403,87.0,94540,0.0009202453987730061
202501,D,202404,94.0,96478,0.0009743153879640954
202501,D,202405,116.0,98435,0.0011784426271143394
202501,D,202406,93.0,100397,0.0009263224996762852
202501,D,202407,101.0,102340,0.000986906390463162
202501,D,202408,108.0,104278,0.001035693051266806
202501,D,202409,115.0,106235,0.0010825057655198382
202501,D,202410,118.0,108197,0.0010906032514764734
202501,D,202411,29.0,110140,0.0002633012529507899
202501,E,202109,1.0,1736,0.000576036866359447
202501,E,202110,3.0,1799,0.0016675931072818232
202501,E,202111,5.0,3846,0.0013000520020800832
202501,E,202112,3.0,5717,0.0005247507433968865
202501,E,202201,9.0,5915,0.001521555367709214
202501,E,202202,6.0,8345,0.000718993409227082
202501,E,202203,10.0,10608,0.000942684766214178
202501,E,202204,12.0,12702,0.000944733112895607
202501,E,202205,15.0,13116,0.0011436413540713633
202501,E,202206,9.0,15522,0.0005798221878623889
202501,E,202207,16.0,17751,0.000901357669990423
202501,E,202208,14.0,20284,0.0006901991717609938
202501,E,202209,29.0,22650,0.0012803532008830022
202501,E,202210,23.0,23342,0.0009853482992031532
202501,E,202211,25.0,26265,0.0009518370454978108
202501,E,202212,22.0,27030,0.0008139104698483167
202501,E,202301,37.0,29539,0.001252581333152781
202501,E,202302,27.0,30381,0.0008887133405747013
202501,E,202303,41.0,33201,0.001234902563175808
202501,E,202304,37.0,34116,0.001084535115488334
202501,E,202305,39.0,35023,0.0011135539502612568
202501,E,202306,31.0,35932,0.0008627407324947122
202501,E,202307,32.0,36841,0.0008685974864960234
202501,E,202308,39.0,37756,0.0010329484055514354
202501,E,202309,37.0,38663,0.0009569873005198769
202501,E,202310,38.0,39571,0.0009602992090167042
202501,E,202311,35.0,40479,0.0008646458657575533
202501,E,202312,42.0,41393,0.0010146643152223805
202501,E,202401,32.0,42301,0.0007564832982671804
202501,E,202402,37.0,43216,0.0008561643835616438
202501,E,202403,44.0,44123,0.000997212338236294
202501,E,202404,45.0,45032,0.0009992893942085627
202501,E,202405,49.0,45941,0.001066585403016913
202501,E,202406,45.0,46856,0.0009603892777872631
202501,E,202407,47.0,47763,0.0009840252915436635
202501,E,202408,53.0,48671,0.0010889441351112571
202501,E,202409,42.0,49579,0.0008471328586700014
202501,E,202410,58.0,50486,0.0011488333399358238
202501,E,202411,45.0,51401,0.0008754693488453532
202501,E,202412,51.0,52308,0.0009749942647396192
202501,E,202501,41.0,53216,0.0007704449789536982
