事業コード,開発コード,部番,販社,SF-CODE,ランク,年月,経過月,累積販売台数,月次使用数
E1,M01,100-0,A,SF-100,A,202101,0,850,1.0
E1,M01,100-0,A,SF-100,A,202103,2,938,1.0
E1,M01,100-0,A,SF-100,A,202104,3,983,1.0
E1,M01,100-0,A,SF-100,A,202105,4,1027,1.0
E1,M01,100-0,A,SF-100,A,202106,5,1071,0.0
E1,M01,100-0,A,SF-100,A,202107,6,1115,2.0
E1,M01,100-0,A,SF-100,A,202108,7,1159,2.0
E1,M01,100-0,A,SF-100,A,202109,8,1204,1.0
E1,M01,100-0,A,SF-100,A,202110,9,1248,2.0
E1,M01,100-0,A,SF-100,A,202111,10,1292,1.0
E1,M01,100-0,A,SF-100,A,202112,11,1336,2.0
E1,M01,100-0,A,SF-100,A,202201,12,1380,1.0
E1,M01,100-0,A,SF-100,A,202202,13,1425,0.0
E1,M01,100-0,A,SF-100,A,202203,14,1469,1.0
E1,M01,100-0,A,SF-100,A,202204,15,1513,2.0
E1,M01,100-0,A,SF-100,A,202205,16,1557,3.0
E1,M01,100-0,A,SF-100,A,202206,17,1601,1.0
E1,M01,100-0,A,SF-100,A,202207,18,1646,2.0
E1,M01,100-0,A,SF-100,A,202208,19,1690,3.0
E1,M01,100-0,A,SF-100,A,202209,20,1734,7.0
E1,M01,100-0,A,SF-100,A,202210,21,1778,3.0
E1,M01,100-0,A,SF-100,A,202211,22,1822,1.0
E1,M01,100-0,A,SF-100,A,202212,23,1867,0.0
E1,M01,100-0,A,SF-100,A,202301,24,1911,4.0
E1,M01,100-0,A,SF-100,A,202302,25,1955,1.0
E1,M01,100-0,A,SF-100,A,202303,26,1999,2.0
E1,M01,100-0,A,SF-100,A,202304,27,2043,1.0
E1,M01,100-0,A,SF-100,A,202305,28,2088,2.0
E1,M01,100-0,A,SF-100,A,202306,29,2132,5.0
E1,M01,100-0,A,SF-100,A,202307,30,2176,1.0
E1,M01,100-0,A,SF-100,A,202308,31,2220,1.0
E1,M01,100-0,A,SF-100,A,202309,32,2264,5.0
E1,M01,100-0,A,SF-100,A,202310,33,2309,3.0
E1,M01,100-0,A,SF-100,A,202311,34,2353,2.0
E1,M01,100-0,A,SF-100,A,202312,35,2397,4.0
E1,M01,100-0,A,SF-100,A,202401,36,2441,3.0
E1,M01,100-0,A,SF-100,A,202402,37,2485,5.0
E1,M01,100-0,A,SF-100,A,202403,38,2530,4.0
E1,M01,100-0,A,SF-100,A,202404,39,2574,4.0
E1,M01,100-0,A,SF-100,A,202405,40,2618,5.0
E1,M01,100-0,A,SF-100,A,202406,41,2662,5.0
E1,M01,100-0,A,SF-100,A,202407,42,2706,4.0
E1,M01,100-0,A,SF-100,A,202408,43,2751,3.0
E1,M01,100-0,A,SF-100,A,202409,44,2795,1.0
E1,M01,100-0,A,SF-100,A,202410,45,2839,3.0
E1,M01,100-0,A,SF-100,A,202411,46,2883,5.0
E1,M01,100-0,A,SF-100,A,202412,47,2927,2.0
E1,M01,100-0,ALL,SF-100,A,202101,0,2500,3.0
E1,M01,100-0,ALL,SF-100,A,202102,1,2630,0.0
E1,M01,100-0,ALL,SF-100,A,202103,2,2760,4.0
E1,M01,100-0,ALL,SF-100,A,202104,3,2890,3.0
E1,M01,100-0,ALL,SF-100,A,202105,4,3020,1.0
E1,M01,100-0,ALL,SF-100,A,202106,5,3150,2.0
E1,M01,100-0,ALL,SF-100,A,202107,6,3280,3.0
E1,M01,100-0,ALL,SF-100,A,202108,7,3410,4.0
E1,M01,100-0,ALL,SF-100,A,202109,8,3540,2.0
E1,M01,100-0,ALL,SF-100,A,202110,9,3670,5.0
E1,M01,100-0,ALL,SF-100,A,202111,10,3800,2.0
E1,M01,100-0,ALL,SF-100,A,202112,11,3930,3.0
E1,M01,100-0,ALL,SF-100,A,202201,12,4060,2.0
E1,M01,100-0,ALL,SF-100,A,202202,13,4190,4.0
E1,M01,100-0,ALL,SF-100,A,202203,14,4320,2.0
E1,M01,100-0,ALL,SF-100,A,202204,15,4450,4.0
E1,M01,100-0,ALL,SF-100,A,202205,16,4580,8.0
E1,M01,100-0,ALL,SF-100,A,202206,17,4710,2.0
E1,M01,100-0,ALL,SF-100,A,202207,18,4840,2.0
E1,M01,100-0,ALL,SF-100,A,202208,19,4970,5.0
E1,M01,100-0,ALL,SF-100,A,202209,20,5100,9.0
